Last Name,First Name,College/Univ,Round,Pick,Draft Class,Postion,PhotoID,Player Assets ID,CommID,PresID,PLPO
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
Generic,Face,,,,-=Default=-,,,,,,
