Historical Player,Position,Race,Type,DDS Filename,Recycled From
Sam Adams,DT,7,REAL,plpo_legends_AdamsSam.dds,Has own portrait
Larry Allen,LG,7,REAL,plpo_legends_AllenLarry.dds,Has own portrait
Isaac Bruce,WR,7,REAL,plpo_legends_Bruce_Isaac.dds,Has own portrait
Tony Carter,RB,7,REAL,,Has own portrait
Mike Davis,CB,7,REAL,plpo_DavisMike.dds,Has own portrait
Marshall Faulk,HB,7,REAL,plpo_legends_MarshallFaulk_Profile.dds,Has own portrait
Jason Gildon,MLB,7,REAL,plpo_HackenbergChristian.dds,Has own portrait
Aaron Glenn,CB,7,REAL,plpo_legends_GlennAaron.dds,Has own portrait
Rodney Harrison,CB,7,REAL,plpo_legends_HarrisonRodney.dds,Has own portrait
Charles Johnson,WR,7,REAL,plpo_JohnsonCharles.dds,Has own portrait
Lonnie Johnson,TE,7,REAL,plpo_JohnsonLonnie.dds,Has own portrait
Ernest Jones,DT,7,REAL,plpo_JonesErnest.dds,Has own portrait
Dorsey Levens,HB,7,REAL,plpo_legends_LevensDorsey.dds,Has own portrait
Willie McGinest,LE,7,REAL,plpo_legends_McGinestWillie.dds,Has own portrait
Sam Rogers,MLB,7,REAL,plpo_RogersSamuel.dds,Has own portrait
Jason Sehorn,CB,7,REAL,plpo_legends_SehornJason.dds,Has own portrait
Rod Smith,WR,7,REAL,,Has own portrait
Bryant Young,DT,7,REAL,plpo_legends_YoungBryant.dds,Has own portrait
Kevin Mawae,C,1,REAL,plpo_legends_MawaeKevin.dds,Has own portrait
Tom Nalen,C,1,REAL,plpo_legends_NalenTom.dds,Has own portrait
Kurt Warner,QB,1,REAL,,Has own portrait
Anthony Abrams,LE,0,RECYCLABLE,plpo_AaituiIsaako.dds,Isaako Aaitui (R)
Brice Abrams,HB,0,RECYCLABLE,plpo_AbdesmadMehdi.dds,Mehdi Abdesmad (R)
Trev Alberts,MLB,0,RECYCLABLE,plpo_Abdul.dds,Quddus-Isa Abdul (R)
Ethan Albright,LS,0,RECYCLABLE,plpo_AbernathyMicah.dds,Micah Abernathy (R)
Allen Aldridge,MLB,0,RECYCLABLE,plpo_AdamJosh.dds,Josh Adam (R)
Brent Alexander,S,0,RECYCLABLE,plpo_AdamsAaron.dds,Aaron Adams (R)
Derrick Alexander,WR,0,RECYCLABLE,plpo_AdamsJeff.dds,Jeff Adams (R)
Dunstan Anderson,DE,0,RECYCLABLE,plpo_AdamsJohnny.dds,Johnny Adams (R)
Jamal Anderson,HB,0,RECYCLABLE,plpo_AdamsKris.dds,Kris Adams (R)
Aaron Bailey,WR,0,RECYCLABLE,plpo_AdamsKyle.dds,Kyle Adams (R)
Romeo Bandison,DT,0,RECYCLABLE,plpo_AdamsPaul.dds,Paul Adams (R)
Bradford Banta,TE,0,RECYCLABLE,plpo_AdamsTrey.dds,Trey Adams (R)
Mario Bates,HB,0,RECYCLABLE,plpo_AdamsTyrell.dds,Tyrell Adams (R)
Aubrey Beavers,MLB,0,RECYCLABLE,plpo_AddisonBralon.dds,Bralon Addison (R)
Zane Beehn,MLB,0,RECYCLABLE,plpo_AdeboyejoQuincy.dds,Quincy Adeboyejo (R)
Tom Beer,MLB,0,RECYCLABLE,plpo_AdeyemiKenton.dds,Kenton Adeyemi (R)
Myron Bell,CB,0,RECYCLABLE,plpo_Adjei.dds,Jude Adjei-Barimah (R)
Jay Bellamy,S,0,RECYCLABLE,plpo_AdongoDaniel.dds,Daniel Adongo (R)
Lou Benfatti,DT,0,RECYCLABLE,plpo_AfriyiePatrick.dds,Patrick Afriyie (R)
Donnell Bennett,HB,0,RECYCLABLE,plpo_AgudosiCarlton.dds,Carlton Agudosi (R)
Pete Bercich,MLB,0,RECYCLABLE,plpo_AhmedRamiz.dds,Ramiz Ahmed (R)
Mitch Berger,P,0,RECYCLABLE,plpo_AhmedShahbaz.dds,Shahbaz Ahmed (R)
David Binn,LS,0,RECYCLABLE,plpo_AjirotutuSeyi.dds,Seyi Ajirotutu (R)
Harold Bishop,TE,0,RECYCLABLE,plpo_AkinmoladunFreedom.dds,Freedom Akinmoladun (R)
John Bock,C,0,RECYCLABLE,plpo_AlakaOtaro.dds,Otaro Alaka (R)
Shane Bonham,DT,0,RECYCLABLE,plpo_AlbrightBryson.dds,Bryson Albright (R)
Chris Boniol,K,0,RECYCLABLE,plpo_AlecxihChas.dds,Chas Alecxih (R)
Vaughn Booker,DE,0,RECYCLABLE,plpo_AlexanderAdonis.dds,Adonis Alexander (R)
Issac Booth,CB,0,RECYCLABLE,plpo_AlexanderAlvester.dds,Alvester Alexander (R)
Jocelyn Borgella,CB,0,RECYCLABLE,plpo_AlexanderDanario.dds,Danario Alexander (R)
James Bostic,HB,0,RECYCLABLE,plpo_AlexanderDominique.dds,Dominique Alexander (R)
Tim Bowens,DT,0,RECYCLABLE,plpo_AlexanderMister.dds,Mister Alexander (R)
Malik Boyd,DB,0,RECYCLABLE,plpo_AlexanderZy.dds,Zy Alexander (R)
Brant Boyer,MLB,0,RECYCLABLE,plpo_AliJosh.dds,Josh Ali (R)
Rickey Brady,TE,0,RECYCLABLE,plpo_Allen.dds,Bryson Allen-Williams (R)
Rich Braham,C,0,RECYCLABLE,plpo_AllenArmando.dds,Armando Allen (R)
Chris Brantley,WR,0,RECYCLABLE,plpo_AllenAustin.dds,Austin Allen (R)
Chad Bratzke,LE,0,RECYCLABLE,plpo_AllenAustin_TE.dds,Austin Allen (R)
Doug Brien,K,0,RECYCLABLE,plpo_AllenChase.dds,Chase Allen (R)
Jeff Brohm,QB,0,RECYCLABLE,plpo_AllenChase_TE.dds,Chase Allen (R)
Bucky Brooks,CB,0,RECYCLABLE,plpo_AllenChristopher.dds,Christopher Allen (R)
Gary Brown,LT,0,RECYCLABLE,plpo_AllenDejon.dds,Dejon Allen (R)
Vaughn Bryant,CB,0,RECYCLABLE,plpo_AllenDevon.dds,Devon Allen (R)
Brentson Buckner,DT,0,RECYCLABLE,plpo_AllenJack.dds,Jack Allen (R)
Joe Burch,C,0,RECYCLABLE,plpo_AllenRaShaun.dds,RaShaun Allen (R)
John Burke,TE,0,RECYCLABLE,plpo_AllenTorrence.dds,Torrence Allen (R)
Keith Burns,MLB,0,RECYCLABLE,plpo_AllisonJeff.dds,Jeff Allison (R)
Jeff Burris,CB,0,RECYCLABLE,plpo_AmosJaquan.dds,Jaquan Amos (R)
James Burton,CB,0,RECYCLABLE,plpo_AmosJohn.dds,John Amos (R)
Butler By'not'e,HB,0,RECYCLABLE,plpo_AndersonBruce.dds,Bruce Anderson (R)
Matt Campbell,G,0,RECYCLABLE,plpo_AndersonBusta.dds,Busta Anderson (R)
Brett Carolan,TE,0,RECYCLABLE,plpo_AndersonBusta.dds,Busta Anderson (R)
Herman Carroll,LE,0,RECYCLABLE,plpo_AndersonDemetris.dds,Demetris Anderson (R)
Dwayne Carswell,TE,0,RECYCLABLE,plpo_AndersonDres.dds,Dres Anderson (R)
Bernard Carter,MLB,0,RECYCLABLE,plpo_AndersonJoe.dds,Joe Anderson (R)
Perry Carter,CB,0,RECYCLABLE,plpo_AndersonJonathan.dds,Jonathan Anderson (R)
Shante Carver,LE,0,RECYCLABLE,plpo_AndersonMJ.dds,MJ Anderson (R)
Derrick Clark,RB,0,RECYCLABLE,plpo_AndersonRyder.dds,Ryder Anderson (R)
Willie Clark,CB,0,RECYCLABLE,plpo_AndersonStephen.dds,Stephen Anderson (R)
Andre Coleman,WR,0,RECYCLABLE,plpo_AndersonZaire.dds,Zaire Anderson (R)
Dennis Collier,CB,0,RECYCLABLE,plpo_AndrewsAntonio.dds,Antonio Andrews (R)
Ervin Collier,DT,0,RECYCLABLE,plpo_AndrewsJosh.dds,Josh Andrews (R)
Jeff Cothran,FB,0,RECYCLABLE,plpo_AndriesBlaise.dds,Blaise Andries (R)
John Covington,CB,0,RECYCLABLE,plpo_AnkrahJason.dds,Jason Ankrah (R)
Sean Crocker,CB,0,RECYCLABLE,plpo_AnnenBlake.dds,Blake Annen (R)
Carlester Crumpler,TE,0,RECYCLABLE,plpo_AnthropDaniel.dds,Daniel Anthrop (R)
Richie Cunningham,K,0,RECYCLABLE,plpo_AnunikeKenny.dds,Kenny Anunike (R)
Anthony Daigle,HB,0,RECYCLABLE,plpo_AnunobyChigbo.dds,Chigbo Anunoby (R)
Isaac Davis,LG,0,RECYCLABLE,plpo_ArcherRJ.dds,RJ Archer (R)
John Davis,TE,0,RECYCLABLE,plpo_ArchibongDaniel.dds,Daniel Archibong (R)
Mitch Davis,MLB,0,RECYCLABLE,plpo_ArmbristerThurston.dds,Thurston Armbrister (R)
Lake Dawson,WR,0,RECYCLABLE,plpo_ArmstrongAnthony.dds,Anthony Armstrong (R)
Trent Dilfer,QB,0,RECYCLABLE,plpo_ArmstrongRay.dds,Ray-Ray Armstrong (R)
Nate Dingle,LB,0,RECYCLABLE,plpo_ArnfeltBrian.dds,Brian Arnfelt (R)
Ernest Dixon,LB,0,RECYCLABLE,plpo_AshRichard.dds,Richard Ash (R)
Mark Dixon,G,0,RECYCLABLE,plpo_AskewNate.dds,Nate Askew (R)
DeWayne Dotson,MLB,0,RECYCLABLE,plpo_AtkinsonIIIGeorge.dds,George Atkinson III (R)
Omar Douglas,WR,0,RECYCLABLE,plpo_AubreyJosh.dds,Josh Aubrey (R)
Gary Downs,HB,0,RECYCLABLE,plpo_AuclairAntony.dds,Antony Auclair (R)
Tyronne Drakeford,CB,0,RECYCLABLE,plpo_AustellErik.dds,Erik Austell (R)
Paul Duckworth,MLB,0,RECYCLABLE,plpo_AustinJrKevin.dds,Kevin Austin Jr (R)
Ronald Edwards,LT,0,RECYCLABLE,plpo_AustinRodney.dds,Rodney Austin (R)
Keith Elias,RB,0,RECYCLABLE,plpo_AustinThomas.dds,Thomas Austin (R)
Jerry Ellison,RB,0,RECYCLABLE,plpo_AveryCJ.dds,CJ Avery (R)
Bert Emanuel,WR,0,RECYCLABLE,plpo_AweMicah.dds,Micah Awe (R)
Greg Engel,C,0,RECYCLABLE,plpo_BaccelliaAndre.dds,Andre Baccellia (R)
Eric England,LE,0,RECYCLABLE,plpo_BadaDavid.dds,David Bada (R)
Greg Evans,S,0,RECYCLABLE,plpo_BadetJeff.dds,Jeff Badet (R)
D'Marco Farr,DT,0,RECYCLABLE,plpo_BaileyAlvin.dds,Alvin Bailey (R)
Ta'ase Faumui,LE,0,RECYCLABLE,plpo_BaileySterling.dds,Sterling Bailey (R)
Jay Fiedler,QB,0,RECYCLABLE,plpo_BaileyZack.dds,Zack Bailey (R)
Jim Flanigan,DT,0,RECYCLABLE,plpo_BainivaluHenry.dds,Henry Bainivalu (R)
Cory Fleming,WR,0,RECYCLABLE,plpo_BairBrandon.dds,Brandon Bair (R)
Malcolm Floyd,WR,0,RECYCLABLE,plpo_BaityDerrick.dds,Derrick Baity (R)
